year_month,year,month,Total_cumsum,Brazil_cumsum,Vietnam_cumsum,Colombia_cumsum,Uganda_cumsum,Ethiopia_cumsum,Central America_cumsum,Indonesia_cumsum,Others_cumsum
2021-01,2021,1,10009.142000000002,1672.41,3615.786,1244.694,1213.212,654.2,47.923,927.995,632.922
2021-02,2021,2,18774.716,2865.507,8982.79,1933.456,1678.8220000000001,1171.328,135.894,1094.499,912.4200000000001
2021-03,2021,3,27426.604,4570.929,12027.102,3052.191,1845.332,1783.501,1618.324,1372.276,1156.949
2021-04,2021,4,35639.342,6238.611,14663.023000000001,4169.174999999999,2266.692,2400.1639999999998,2920.6220000000003,1528.857,1452.198
2021-05,2021,5,44232.371,8149.135,17247.717,4932.15,2421.985,3693.9519999999998,4386.169,1775.001,1626.2620000000002
2021-06,2021,6,54463.085,9913.432,20504.392,5673.427,2673.266,5224.482,6487.93,1947.453,2038.7030000000002
2021-07,2021,7,62534.272,11986.499,22438.4,5814.768,2808.33,6533.289,8655.793,2148.907,2148.286
2021-08,2021,8,72561.02799999999,13422.057999999999,24608.241,7241.9529999999995,2904.337,8692.845,10671.318,2409.446,2610.83
2021-09,2021,9,83521.83899999999,15202.819,27474.413,8293.296,3195.829,10501.473999999998,13022.061999999998,2549.665,3282.281
2021-10,2021,10,91582.806,16913.734,29987.022,9195.757,3253.434,11550.532,14501.597999999998,2687.194,3493.535
2021-11,2021,11,100911.613,18002.967,31261.613,10286.154999999999,3487.137,12380.233,17029.105,4771.536,3692.8669999999997
2021-12,2021,12,106472.492,19496.377,32358.495000000003,10890.537999999999,3911.3630000000003,13153.625,17841.067,4877.432,3943.595
2022-01,2022,1,4007.929,518.432,1257.786,296.32,19.386,1249.429,77.357,286.71,302.509
2022-02,2022,2,6067.631,795.046,1672.872,667.077,38.596000000000004,1768.9940000000001,114.68299999999999,393.75,616.613
2022-03,2022,3,14175.631000000001,1697.768,4438.443,1052.8609999999999,115.40700000000001,2690.152,152.956,3319.743,708.301
2022-04,2022,4,21214.741,3147.618,7503.89,1694.529,384.21799999999996,3223.474,168.791,3696.081,1396.14
2022-05,2022,5,30052.974000000002,4974.693,10761.321,2227.527,674.746,5358.39,168.838,4325.34,1562.1190000000001
2022-06,2022,6,37824.046,6707.006,12970.755000000001,3045.218,885.969,6411.35,458.10799999999995,5644.897,1700.7430000000002
2022-07,2022,7,49599.450000000004,8737.174,14904.660000000002,4102.442,1078.588,9851.399000000001,2049.027,6865.365,2010.795
2022-08,2022,8,63004.929000000004,10917.531,15604.847000000002,5468.989,1686.403,16068.425000000001,3598.696,7323.762,2336.276
2022-09,2022,9,76506.754,12618.460000000001,17775.563000000002,7906.164999999999,2389.2309999999998,20874.816,4819.759,7457.4839999999995,2665.276
2022-10,2022,10,88555.57800000001,15686.317000000001,19012.721,9339.204,2888.4489999999996,23970.173,5117.886,9217.280999999999,3323.5469999999996
2022-11,2022,11,98528.10600000001,17721.913,21722.229,10766.669,3252.057,25862.707,5411.854,9396.167,4394.509999999999
2022-12,2022,12,108261.21500000001,19850.53,23147.612,11636.280999999999,3545.292,29968.999,5596.2480000000005,9654.958999999999,4861.293999999999
2023-01,2023,1,7236.804,1906.461,1009.21,560.177,19.221,2894.688,62.638,320.782,463.62699999999995
2023-02,2023,2,12713.202,4262.601,1463.362,1678.2309999999998,19.226,3774.442,127.23599999999999,587.469,800.635
2023-03,2023,3,19936.046000000002,7432.797,2945.9080000000004,2732.576,231.238,4463.237,185.47199999999998,809.297,1135.521
2023-04,2023,4,27173.999000000003,10375.179,4594.540000000001,3679.762,308.046,4983.186,774.327,913.773,1545.186
2023-05,2023,5,37607.246,13923.432,7709.450000000001,4554.321,557.656,6512.271,1275.287,1257.02,1817.809
2023-06,2023,6,44917.644,16686.168,8395.361,5658.945,788.068,7723.5199999999995,1979.158,1399.01,2287.4139999999998
2023-07,2023,7,61053.466,22486.983,12205.156,6887.992,1018.473,10513.059,2257.537,3114.94,2569.326
2023-08,2023,8,70281.076,25444.983,12416.355000000001,8115.785,1442.6779999999999,13189.399,3188.2599999999998,3558.674,2924.942
2023-09,2023,9,86185.259,34076.327,13111.907000000001,9879.371,2100.6459999999997,15086.765,3575.6809999999996,4731.809,3622.753
2023-10,2023,10,101528.48800000001,39793.884,13131.284000000001,14107.525999999998,2520.9049999999997,17776.845999999998,4004.2719999999995,6245.054,3948.717
2023-11,2023,11,119803.18100000001,50055.225999999995,13627.101000000002,17068.906,3129.4379999999996,20107.524999999998,4256.795999999999,7021.092000000001,4537.097
2023-12,2023,12,139945.30200000003,59592.397,14061.565000000002,21363.381999999998,3388.845,22329.837999999996,4497.8369999999995,9260.851,5450.5869999999995
2024-01,2024,1,37143.327999999994,23522.627,2505.71,7922.058,272.055,1826.533,77.43299999999999,517.719,499.19300000000004
2024-02,2024,2,58508.907999999996,34880.977,4713.191000000001,13423.973,485.66200000000003,2507.748,153.998,710.702,1632.657
2024-03,2024,3,79970.31599999999,43889.937999999995,6595.354000000001,20093.268,839.895,3277.549,1304.623,970.983,2998.706
2024-04,2024,4,91837.12299999999,47689.685999999994,8055.3510000000015,23659.497,1535.911,4031.6279999999997,2036.062,1139.124,3689.864
2024-05,2024,5,105338.86799999999,51953.369999999995,9507.627000000002,27179.906,2241.163,5499.4619999999995,2515.205,1606.609,4835.526
2024-06,2024,6,115801.14399999999,55470.577,11303.698000000002,29333.523999999998,2659.311,6482.526,2857.1279999999997,2292.054,5402.326
2024-07,2024,7,128162.16399999999,59221.468,13689.656000000003,31378.121,3208.3520000000003,8531.211,3637.9469999999997,2786.275,5709.134
2024-08,2024,8,140957.536,61877.541,17169.891000000003,33550.44,3564.2190000000005,11231.385999999999,4151.852999999999,3203.866,6208.34
2024-09,2024,9,150543.47,66020.074,19293.938000000002,34763.28,4028.8170000000005,11923.64,4229.250999999999,3542.313,6742.157
2024-10,2024,10,159993.019,67937.939,21706.564000000002,36060.038,4983.669000000001,13531.09,4559.0509999999995,3773.6420000000003,7441.026
2024-11,2024,11,168920.07,70223.329,22911.607000000004,36940.627,5876.182000000001,15062.041000000001,4726.724999999999,5244.885,7934.674
2024-12,2024,12,181290.23200000002,75630.129,23461.048000000003,38060.507,6899.709000000001,16233.737000000001,5024.847,7103.875,8876.38
2025-01,2025,1,15900.308,8592.18,1074.823,1811.398,703.324,1673.873,23.771,1367.924,653.0150000000001
2025-02,2025,2,29377.443000000007,15924.579000000002,3353.071,2545.4249999999997,1054.694,3502.893,37.121,1863.4099999999999,1096.25
2025-03,2025,3,46061.18000000001,21369.486,5674.523,5072.963,1973.876,7343.668,240.985,2914.6349999999998,1471.0439999999999
2025-04,2025,4,63940.596000000005,26214.861,7909.281,7401.245,3388.718,12151.418,650.488,4315.047,1909.538
2025-05,2025,5,82033.117,31644.763,9597.101999999999,8403.374,5225.055,17105.983,1610.8319999999999,6143.485,2302.523
2025-06,2025,6,108384.311,37118.210999999996,11953.516,10099.269,6149.217000000001,30618.34,2395.375,7143.986999999999,2906.396
2025-07,2025,7,129894.80900000001,41285.825,14412.448,11371.393,7524.548000000001,40260.413,2601.564,8809.221,3629.397
2025-08,2025,8,148996.35,43559.52099999999,15026.371000000001,14194.143,9273.225,49413.881,2768.301,10012.791,4748.117
2025-09,2025,9,168354.967,46388.99799999999,16485.057,15714.856,10412.522,60258.682,3058.749,10525.991999999998,5510.111
2025-10,2025,10,181881.013,51448.76499999999,16801.059,17623.045,11547.092,63354.228,3152.7839999999997,11936.580999999998,6017.459
2025-11,2025,11,199721.932,59029.933999999994,17056.722,19242.878999999997,12322.7,67977.36600000001,3255.1659999999997,13340.485999999999,7496.679
2025-12,2025,12,223807.717,68868.17599999999,20425.219,20688.906999999996,13100.378,72772.888,3392.4359999999997,15510.989,9048.724
2026-01,2026,1,24087.864,7471.197,4894.045,1631.173,552.892,6451.234,132.854,707.05,2247.419
2026-02,2026,2,33796.628000000004,9824.655,6844.78,2665.8410000000003,1897.126,9060.232,152.205,814.842,2536.947
